Property,Layout,Plan,Sqft,Rent Range,Units Available,Availability Date
"The Clara","Studio","A12","476","$3,530–$3,550",3,"Now (some May 9–18)"
"The Clara","Studio","A2","497","$3,537",1,"Now (some May 9–18)"
"The Clara","Studio","A11","492","$3,561",1,"Now (some May 9–18)"
"The Clara","Studio","B3","508","$3,609–$3,619",2,"Now (some May 9–18)"
"The Clara","Studio","A1","512","$3,627",1,"Now (some May 9–18)"
"The Clara","Studio","B8","557","$3,707",1,"Now (some May 9–18)"
"The Clara","Studio","B4","620","$3,878–$3,908",2,"Now (some May 9–18)"
"The Clara","1 Bed/1 Bath","C8","654","$4,218",1,"Now (some May 2)"
"The Clara","1 Bed/1 Bath","C7","684","$4,272–$4,362",2,"Now (some May 2)"
"The Clara","1 Bed/1 Bath","C6","636","$4,276",1,"Now (some May 2)"
"The Clara","1 Bed/1 Bath","A2","710","$4,319",1,"Now (some May 2)"
"The Clara","1 Bed/1 Bath","B1","649","$4,354–$4,364",3,"Now (some May 2)"
"The Clara","1 Bed/1 Bath","A5","664–669","$4,361–$4,725",6,"Now (some May 2)"
"The Clara","1 Bed/1 Bath","A1","731","$4,452–$4,462",2,"Now (some May 2)"
"The Clara","1 Bed/1 Bath","C1","731","$4,477–$4,497",3,"Now (some May 2)"
"The Clara","1 Bed/1 Bath","A7","759–770","$4,577–$4,952",8,"Now (some May 2)"
"The Clara","1 Bed/1 Bath","A3","769–784","$4,609–$4,947",10,"Now (some May 2)"
"The Clara","1 Bed/1 Bath","A6","686","$4,702–$4,752",2,"Now (some May 2)"
"The Clara","1 Bed/1 Bath","A4","800–804","$4,731–$4,998",4,"Now (some May 2)"
"The Clara","2 Bed/2 Bath","C1","964","$5,520",1,"Now (some Apr–Jun)"
"The Clara","2 Bed/2 Bath","C2","964","$5,790",1,"Now (some Apr–Jun)"
"The Clara","2 Bed/2 Bath","A11","1011","$5,654–$5,714",4,"Now (some Apr–Jun)"
"The Clara","2 Bed/2 Bath","B4","1034","$5,678–$5,718",3,"Now (some Apr–Jun)"
"The Clara","2 Bed/2 Bath","A3","1054–1066","$5,602–$6,024",3,"Now (some Apr–Jun)"
"The Clara","2 Bed/2 Bath","B2","1063","$5,720–$5,795",4,"Now (some Apr–Jun)"
"The Clara","2 Bed/2 Bath","A6","1047","$5,792–$5,812",2,"Now (some Apr–Jun)"
"The Clara","2 Bed/2 Bath","B6","1098","$5,731–$5,811",4,"Now (some Apr–Jun)"
"The Clara","2 Bed/2 Bath","A5","1078","$5,717–$5,782",4,"Now (some Apr–Jun)"
"The Clara","2 Bed/2 Bath","A1","1134","$5,699–$5,779",5,"Now (some Apr–Jun)"
"The Clara","2 Bed/2 Bath","A4","1126","$5,787–$5,852",4,"Now (some Apr–Jun)"
"The Clara","2 Bed/2 Bath","A17","1129","$5,901",1,"Now (some Apr–Jun)"
"The Clara","2 Bed/2 Bath","A12","1160–1170","$5,867–$6,261",3,"Now (some Apr–Jun)"
"The Clara","2 Bed/2 Bath","A8","1195","$5,873–$5,933",3,"Now (some Apr–Jun)"
"The Clara","2 Bed/2 Bath","A9","1224","$5,915–$5,975",3,"Now (some Apr–Jun)"
"The Clara","2 Bed/2 Bath","A7","1118","$6,645",1,"Now (some Apr–Jun)"
"The Clara","2 Bed/2 Bath","A2","1189–1190","$6,301–$6,795",2,"Now (some Apr–Jun)"
"The Clara","3 Bed","C2 (3BD/2BA)","1295","$7,507",1,"Now (some Apr 20)"
"The Clara","3 Bed","A2 (3BD/3BA)","1649","$7,774–$7,804",2,"Now (some Apr 20)"
"The Clara","3 Bed","2DU A5 (Townhouse 3BD/3BA)","1971","$11,010",1,"Now (some Apr 20)"
"The Clara","3 Bed","A6 (Penthouse 3BD/2BA)","1523","$11,560",1,"Now (some Apr 20)"
"The Clara","3 Bed","A5 (Penthouse 3BD/2BA)","1488","$13,430",1,"Now (some Apr 20)"
"AVE Santa Clara","Studio","E1","477","$3,310–$3,485",2,"Jun 23 / Aug 21"
"AVE Santa Clara","Studio","E2","519","$3,205",1,"Aug 21"
"AVE Santa Clara","1 Bed/1 Bath","A2","598","$3,640",1,"Aug 21"
"AVE Santa Clara","1 Bed/1 Bath","A3","594","$3,703",1,"Aug 21"
"AVE Santa Clara","1 Bed/1 Bath","A4","643","$3,814–$3,894",2,"Aug 21"
"AVE Santa Clara","3 Bed/2 Bath","C3","1254","$6,779",1,"May 16"
"The Lafayette","1 Bed/1 Bath","A4","652–662","$3,693–$3,703",2,"Now / May 21"
"The Lafayette","1 Bed/1 Bath","A7","685–715","$3,888–$3,928",2,"May 29 / Jun 29"
"The Lafayette","2 Bed/2 Bath","B3","953","$4,766",1,"May 7"
"The Lafayette","2 Bed/2 Bath","B8","1271","$5,116",1,"Now"
