Property,Address,Year Built,Total Units,Layout,Sqft Min,Sqft Max,Rent Min,Rent Max,Units Available,Parking $/mo,Pet Policy,Move-in Special
"The Clara","5150 Calle del Sol, Santa Clara, CA 95054",2025,508,"Studio",451,620,3530,3908,11,175,"Pet Rent: $65/mo, Pet Deposit: $500 (Refundable)","Move-in Special: 6 Weeks Free on Penthouses; Up to 8 Weeks Free on Townhomes and Select Apartments"
"The Clara","5150 Calle del Sol, Santa Clara, CA 95054",2025,508,"1 Bed/1 Bath",636,804,4218,4998,43,175,"Pet Rent: $65/mo, Pet Deposit: $500 (Refundable)","Move-in Special: 6 Weeks Free on Penthouses; Up to 8 Weeks Free on Townhomes and Select Apartments"
"The Clara","5150 Calle del Sol, Santa Clara, CA 95054",2025,508,"2 Bed/2 Bath",964,1224,5520,6795,48,175,"Pet Rent: $65/mo, Pet Deposit: $500 (Refundable)","Move-in Special: 6 Weeks Free on Penthouses; Up to 8 Weeks Free on Townhomes and Select Apartments"
"The Clara","5150 Calle del Sol, Santa Clara, CA 95054",2025,508,"3 Bed",1295,1971,7507,13430,6,175,"Pet Rent: $65/mo, Pet Deposit: $500 (Refundable)","Move-in Special: 6 Weeks Free on Penthouses; Up to 8 Weeks Free on Townhomes and Select Apartments"
"AVE Santa Clara","2240 Calle De Luna, Santa Clara, CA 95054",2025,211,"Studio",477,519,3205,3485,3,,"Dog Fee: $500, Dog Rent: $65/mo; Cat Fee: $500, Cat Rent: $65/mo","No 2BR plans available"
"AVE Santa Clara","2240 Calle De Luna, Santa Clara, CA 95054",2025,211,"1 Bed/1 Bath",594,643,3640,3894,4,,"Dog Fee: $500, Dog Rent: $65/mo; Cat Fee: $500, Cat Rent: $65/mo","No 2BR plans available"
"AVE Santa Clara","2240 Calle De Luna, Santa Clara, CA 95054",2025,211,"3 Bed/2 Bath",1254,1254,6779,6779,1,,"Dog Fee: $500, Dog Rent: $65/mo; Cat Fee: $500, Cat Rent: $65/mo","No 2BR plans available"
"The Lafayette","2333 Calle Del Mundo, Santa Clara, CA 95054",2024,347,"1 Bed/1 Bath",652,715,3693,3928,4,125,"Pet Deposit: $500; Pet Rent: $50/month for each pet","Move-in special: Up to 4 Weeks Free"
"The Lafayette","2333 Calle Del Mundo, Santa Clara, CA 95054",2024,347,"2 Bed/2 Bath",953,1310,4766,6198,9,125,"Pet Deposit: $500; Pet Rent: $50/month for each pet","Move-in special: Up to 4 Weeks Free"
"The Lafayette","2333 Calle Del Mundo, Santa Clara, CA 95054",2024,347,"3 Bed/2 Bath",1360,1360,6213,6213,1,125,"Pet Deposit: $500; Pet Rent: $50/month for each pet","Move-in special: Up to 4 Weeks Free"
"Passero","2230 Calle Del Mundo, Santa Clara, CA 95054",2025,371,"Studio",331,349,2868,2908,20,150,"$75/mo pet rent","Move-in special: Up to 10 Weeks Free on Furnished Studios; 1-Bedrooms up to 6 Weeks Free; Look & Lease Specials"
"Passero","2230 Calle Del Mundo, Santa Clara, CA 95054",2025,371,"1 Bed/1 Bath",527,803,3547,4238,8,150,"$75/mo pet rent","Move-in special: Up to 10 Weeks Free on Furnished Studios; 1-Bedrooms up to 6 Weeks Free; Look & Lease Specials"
"Passero","2230 Calle Del Mundo, Santa Clara, CA 95054",2025,371,"2 Beds/2 Baths",939,1126,4797,5104,10,150,"$75/mo pet rent","Move-in special: Up to 10 Weeks Free on Furnished Studios; 1-Bedrooms up to 6 Weeks Free; Look & Lease Specials"
"Mainline North Apartments","2310 Calle Del Mundo, Santa Clara, CA 95054",2025,151,"Studio",359,412,,,0,0,"Additional fees may apply, see leasing office.","No units currently available"
